City,Country,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed (mph),Date
Ushuaia,AR,-54.8,-68.3,29.86,100,90,17.27,1622253847
Pangnirtung,CA,66.1451,-65.7125,21.13,92,55,5.7,1622254101
Punta Arenas,CL,-53.15,-70.9167,35.71,75,20,21.81,1622254101
George Town,MY,5.4112,100.3354,85.95,77,20,1.01,1622254101
Rome,US,43.2128,-75.4557,46.26,92,90,0.0,1622254102
Vaini,TO,-21.2,-175.2,77.16,78,75,2.3,1622254102
Rikitea,PF,-23.1203,-134.9692,76.78,75,77,20.51,1622253841
Olafsvik,IS,64.8945,-23.7142,47.44,87,100,32.88,1622254102
Alice Springs,AU,-23.7,133.8833,58.55,47,0,18.25,1622253860
Bengkulu,ID,-3.8004,102.2655,75.04,94,100,3.4,1622254102
Clyde River,CA,70.4692,-68.5914,23.7,87,100,2.39,1622253959
Kraśnik,PL,50.9236,22.2271,51.67,96,100,6.31,1622254103
Sur,OM,22.5667,59.5289,87.53,43,48,3.6,1622254103
Yellowknife,CA,62.456,-114.3525,57.56,41,7,3.0,1622254103
Bredasdorp,ZA,-34.5322,20.0403,58.28,88,7,9.08,1622254104
Aklavik,CA,68.2191,-135.0107,35.24,61,100,16.24,1622254104
Dali,CN,25.7,100.1833,72.95,57,68,5.59,1622254104
Puerto Ayora,EC,-0.7393,-90.3518,74.55,91,59,4.0,1622254104
Nekhayevskiy,RU,50.4106,41.7561,60.49,74,75,4.14,1622254105
Faanui,PF,-16.4833,-151.75,80.42,70,15,2.24,1622254105
Hofn,IS,64.2539,-15.2082,46.44,97,100,10.16,1622254105
Mataura,NZ,-46.1927,168.8643,49.48,95,100,4.18,1622254105
Vraneštica,MK,41.4453,21.0267,46.8,93,36,3.09,1622254106
Naze,JP,28.3667,129.4833,72.77,72,100,2.42,1622254106
Carnarvon,AU,-24.8667,113.6333,69.87,94,75,8.05,1622254106
Garissa,KE,-0.4536,39.6401,73.8,78,50,12.57,1622254106
Vestmannaeyjar,IS,63.4427,-20.2734,46.99,93,99,40.87,1622254107
Qiongshan,CN,20.0058,110.3542,89.58,70,20,5.84,1622254107
Severo-Kuril'sk,RU,50.6789,156.125,42.21,74,73,6.71,1622254107
Pathein,MM,16.7833,94.7333,82.26,80,100,3.71,1622254107
Thabazimbi,ZA,-24.5917,27.4116,53.37,36,0,2.39,1622254108
Jamestown,US,42.097,-79.2353,44.1,94,90,4.0,1622254108
Saskylakh,RU,71.9167,114.0833,43.23,54,88,13.04,1622254108
Kingman,US,35.1894,-114.053,89.19,6,1,10.76,1622253845
Švenčionys,LT,55.15,26.1667,46.56,97,84,4.41,1622254109
Gigmoto,PH,13.7796,124.39,88.05,65,26,4.25,1622254109
Kapaa,US,22.0752,-159.319,82.38,69,20,1.01,1622254109
Bairiki Village,KI,1.3292,172.9752,80.6,89,75,12.19,1622254109
Saint-Philippe,RE,-21.3585,55.7679,68.22,77,20,2.37,1622254110
Mocuba,MZ,-16.8392,36.9856,59.36,96,0,4.18,1622254110
Bambous Virieux,MU,-20.3428,57.7575,74.21,88,75,8.77,1622254110
Hobart,AU,-42.8794,147.3294,49.26,62,75,4.36,1622254110
Krasnosel'kup,RU,65.7,82.4667,35.83,53,52,18.16,1622254111
Aleksandrov Gay,RU,50.147,48.5704,63.36,85,77,7.14,1622254111
Skowhegan,US,44.7651,-69.7192,53.26,77,100,3.2,1622254111
Baracoa,CU,20.3467,-74.4958,77.09,84,60,5.68,1622254112
Qaanaaq,GL,77.484,-69.3632,37.6,82,99,5.7,1622254112
Qui Nhon,VN,13.7667,109.2333,87.85,65,89,6.22,1622254112
Bari,IT,41.1177,16.8512,61.54,55,0,1.99,1622254112
Hermanus,ZA,-34.4187,19.2345,58.8,85,19,14.7,1622254113
Roblin,CA,51.23,-101.3565,58.19,62,100,17.76,1622254022
Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.77,82,81,10.4,1622254113
Castro,BR,-24.7911,-50.0119,69.76,64,60,14.83,1622254113
Albany,US,42.6001,-73.9662,45.27,92,100,5.3,1622253992
Karagaylinskiy,RU,54.172,86.5521,42.62,89,100,5.7,1622254114
São João da Barra,BR,-21.6403,-41.0511,74.5,91,13,19.15,1622254114
Mujiayingzi,CN,42.1167,118.7833,61.95,33,0,7.05,1622254114
Lavrentiya,RU,65.5833,-171.0,34.21,81,8,12.35,1622254114
Nome,US,64.5011,-165.4064,59.07,24,1,18.41,1622254115
Bluff,NZ,-46.6,168.3333,49.8,84,99,21.68,1622253939
Buraidah,SA,26.326,43.975,86.9,17,39,10.25,1622254115
Muriwai Beach,NZ,-36.8167,174.45,59.36,79,97,14.5,1622254115
Port Elizabeth,ZA,-33.918,25.5701,58.1,67,2,21.07,1622254116
Ketchikan,US,55.3422,-131.6461,48.18,79,100,7.96,1622253837
Cape Town,ZA,-33.9258,18.4232,59.34,90,32,1.99,1622253975
Lebu,CL,-37.6167,-73.65,51.03,87,12,6.22,1622254116
Atuona,PF,-9.8,-139.0333,79.02,73,16,14.63,1622254116
Talnakh,RU,69.4865,88.3972,32.9,98,100,9.48,1622254024
São Filipe,CV,14.8961,-24.4956,72.59,78,6,9.33,1622254116
Hervey Bay,AU,-25.2986,152.8535,74.03,55,95,8.01,1622254104
Thompson,CA,55.7435,-97.8558,58.33,38,100,15.14,1622253843
San Patricio,US,28.017,-97.5169,81.32,87,52,10.92,1622254117
Khatanga,RU,71.9667,102.5,45.59,66,57,14.79,1622254117
Hithadhoo,MV,-0.6,73.0833,82.62,75,100,16.6,1622254117
Beloha,MG,-25.1667,45.05,61.97,84,0,4.07,1622254118
Vao,NC,-22.6667,167.4833,72.03,65,0,24.36,1622254118
Butaritari,KI,3.0707,172.7902,82.89,79,100,16.15,1622254118
Avarua,CK,-21.2078,-159.775,80.65,61,40,9.22,1622254118
New Norfolk,AU,-42.7826,147.0587,48.92,54,6,1.41,1622254119
Broken Hill,AU,-31.95,141.4333,53.06,43,100,13.49,1622254119
Brebeni,RO,44.3667,24.45,56.12,88,82,5.82,1622254119
Sidi Ali,DZ,36.0998,0.4206,62.47,88,45,3.22,1622254119
Philadelphia,US,39.9523,-75.1638,55.35,94,90,8.01,1622254120
Kaitangata,NZ,-46.2817,169.8464,52.93,77,100,8.23,1622254120
Arraial do Cabo,BR,-22.9661,-42.0278,73.51,90,77,27.11,1622254120
Huauchinango,MX,20.1833,-98.05,65.57,95,100,2.35,1622254120
Arlit,NE,18.7369,7.3853,83.91,7,53,4.9,1622254121
Saint George,US,37.1041,-113.5841,93.67,9,1,1.01,1622254088
Torbay,CA,47.6666,-52.7314,40.68,76,91,5.99,1622254121
Loukhi,RU,66.0764,33.0381,35.76,64,99,10.78,1622254121
Gachsaran,IR,30.3586,50.7981,79.95,12,0,4.45,1622254122
Tiksi,RU,71.6872,128.8694,32.97,96,100,15.03,1622254122
Weligama,LK,5.9667,80.4167,80.74,84,86,14.09,1622254122
Ahipara,NZ,-35.1667,173.1667,58.48,74,78,16.15,1622254122
Kavaratti,IN,10.5669,72.642,83.57,74,16,18.9,1622254123
San Rafael,AR,-34.6177,-68.3301,52.16,51,84,2.06,1622254123
Longyearbyen,SJ,78.2186,15.6401,31.84,59,40,20.71,1622254123
Nikel,RU,69.4128,30.222,32.18,75,100,16.33,1622254123
Dikson,RU,73.5069,80.5464,24.01,85,77,4.32,1622254124
Chhor,PK,25.5167,69.7667,84.11,76,19,19.8,1622254124
Bubaque,GW,11.2833,-15.8333,78.26,73,70,9.51,1622254124
Fairbanks,US,64.8378,-147.7164,47.61,43,75,16.11,1622253911
Opuwo,NA,-18.0607,13.84,58.26,35,0,6.13,1622254124
Arman',RU,59.7,150.1667,40.37,85,100,3.74,1622254125
Plouzané,FR,48.3833,-4.6167,57.29,85,0,4.56,1622254125
Faya,SA,18.3851,42.4509,61.32,47,2,1.57,1622254125
Porosozero,RU,62.7191,32.727,34.48,85,3,6.22,1622254126
Lüderitz,NA,-26.6481,15.1594,61.18,58,100,13.71,1622254126
Port Alfred,ZA,-33.5906,26.891,62.53,67,1,23.11,1622254126
Mananjary,MG,-21.2167,48.3333,66.69,90,1,5.95,1622254126
Saravan,AM,39.7196,45.6483,54.25,50,6,6.64,1622254127
Bethel,US,41.3712,-73.414,50.36,90,90,1.99,1622253933
Russell,US,32.3502,-85.1999,72.55,92,75,5.55,1622254127
Barrow,US,71.2906,-156.7887,30.22,80,90,6.91,1622254127
Mortka,RU,59.3322,66.0214,55.47,67,97,6.76,1622254127
Dickinson,US,29.4608,-95.0513,80.94,81,1,5.21,1622254128
Noril'sk,RU,69.3535,88.2027,32.07,98,100,7.67,1622254097
Bathsheba,BB,13.2167,-59.5167,79.41,61,40,13.94,1622254128
Pevek,RU,69.7008,170.3133,37.71,76,40,3.8,1622254128
Ribeira Grande,PT,38.5167,-28.7,62.2,73,22,4.12,1622254129
Cap Malheureux,MU,-19.9842,57.6142,74.46,77,86,3.0,1622254129
Malakal,SS,9.5334,31.6605,80.73,54,8,4.65,1622254129
Padang,ID,-0.9492,100.3543,79.52,90,100,5.59,1622254129
Foam Lake,CA,51.65,-103.5343,60.4,42,30,13.87,1622254130
Zhigansk,RU,66.7697,123.3711,53.11,56,0,16.69,1622254130
Lipin Bor,RU,60.2622,37.9763,44.29,93,100,6.08,1622254130
Zhangye,CN,38.9342,100.4517,78.1,17,46,9.82,1622254130
Lorengau,PG,-2.0226,147.2712,84.33,75,99,10.02,1622254131
Saint Paul Harbor,US,57.79,-152.4072,49.51,81,90,10.36,1622254131
Cidreira,BR,-30.1811,-50.2056,62.56,95,100,11.97,1622254132
Busselton,AU,-33.65,115.3333,65.05,80,97,10.27,1622254132
Sterling,US,39.0062,-77.4286,65.48,96,90,1.01,1622254082
Mgandu,TZ,-5.95,34.1333,55.67,96,32,5.37,1622254132
Hamina,FI,60.5697,27.1979,42.08,82,4,12.17,1622254133
Pahrump,US,36.2083,-115.9839,93.11,6,8,4.0,1622254133
Fortuna,US,40.5982,-124.1573,60.66,67,1,3.0,1622254133
Fukuechō,JP,32.6881,128.8419,66.52,64,5,14.27,1622254134
Khor,RU,47.8861,134.9464,62.65,56,100,5.68,1622254134
Tadine,NC,-21.55,167.8833,74.84,58,6,9.44,1622254134
Praia da Vitória,PT,38.7333,-27.0667,59.76,83,35,5.21,1622254135
Kalachinsk,RU,55.0529,74.5751,54.21,58,100,6.78,1622254135
Tcholliré,CM,8.4022,14.1698,77.92,62,39,3.36,1622254029
Katsuura,JP,35.1333,140.3,78.91,79,100,22.77,1622254135
Boden,SE,65.8252,21.6886,41.0,69,51,3.09,1622254135
La Rioja,ES,42.25,-2.5,58.48,81,100,4.85,1622254097
Eyemouth,GB,55.8713,-2.0901,49.82,92,7,7.31,1622254136
Churāchāndpur,IN,24.3333,93.6667,74.48,62,16,2.57,1622254136
Magugu,TZ,-4.0167,35.7667,59.22,93,29,1.9,1622254136
Ballina,AU,-28.8667,153.5667,68.18,64,100,17.34,1622254137
West Fargo,US,46.875,-96.9004,60.85,28,1,11.5,1622254137
Camaçari,BR,-12.6975,-38.3242,78.57,84,18,2.82,1622253930
Qarqīn,AF,37.4185,66.0436,85.59,20,0,6.02,1622254137
Yerbogachën,RU,61.2767,108.0108,61.09,42,100,7.49,1622254137
Susurluk,TR,39.9136,28.1578,62.83,95,88,3.58,1622254138
Mankera,PK,31.3866,71.4407,96.94,14,81,8.46,1622254138
Chabahar,IR,25.2919,60.643,86.04,71,0,3.76,1622254138
Chokurdakh,RU,70.6333,147.9167,56.93,31,39,16.2,1622254138
Grindavik,IS,63.8424,-22.4338,48.9,93,90,29.91,1622254139
Arawa,PG,-6.2132,155.5367,78.1,93,100,1.83,1622254139
Merauke,ID,-8.4667,140.3333,81.91,72,49,12.62,1622254139
Coquimbo,CL,-29.9533,-71.3436,59.04,88,0,5.06,1622253910
Usakos,NA,-22.0,15.6,64.13,32,0,4.16,1622254140
Northam,GB,51.0333,-4.2167,57.02,77,100,6.02,1622254140
Qinhuangdao,CN,39.9317,119.5883,69.49,43,42,10.04,1622254140
Lagoa,PT,39.05,-27.9833,61.65,75,34,8.1,1622254141
Ormara,PK,25.2088,64.6357,83.23,83,1,8.25,1622254141
Tuktoyaktuk,CA,69.4541,-133.0374,30.92,79,100,8.37,1622254141
Lubeck,US,39.2354,-81.6312,63.37,95,100,5.01,1622254141
Banikoara,BJ,11.2985,2.4386,82.78,53,97,4.07,1622254026
Sambava,MG,-14.2667,50.1667,70.83,85,1,7.76,1622254142
Norman Wells,CA,65.282,-126.8329,39.18,66,100,8.25,1622254142
Srīvardhan,IN,18.0333,73.0167,84.49,73,100,4.97,1622254142
Nanortalik,GL,60.1432,-45.2371,35.78,97,100,3.96,1622254143
Inhambane,MZ,-23.865,35.3833,63.43,73,0,10.67,1622254143
Sioux Lookout,CA,50.1001,-91.917,49.19,45,31,5.46,1622254143
Daund,IN,18.4667,74.6,81.07,64,100,13.91,1622254143
Upernavik,GL,72.7868,-56.1549,29.88,94,98,8.79,1622254144
Harrisburg,US,40.2737,-76.8844,55.54,91,90,11.01,1622253888
Cartagena,CO,10.3997,-75.5144,82.02,83,75,8.05,1622254107
Kokkola,FI,63.8385,23.1307,40.93,92,0,4.25,1622254144
Hasaki,JP,35.7333,140.8333,79.2,74,100,20.24,1622254144
Tuatapere,NZ,-46.1333,167.6833,49.82,90,100,9.51,1622254145
Hong Kong,HK,22.2855,114.1577,91.96,75,100,1.99,1622253913
Meziboři,CZ,50.6212,13.5987,44.1,96,17,3.58,1622254145
Kachīry,KZ,53.0675,76.1036,60.3,46,8,1.23,1622254145
Novobirilyussy,RU,56.9514,90.6661,42.01,47,97,9.91,1622254146
Kahului,US,20.8947,-156.47,82.42,64,40,23.02,1622253998
Tirumullaivāsal,IN,11.2333,79.8333,85.3,63,98,13.4,1622254146
Hilo,US,19.7297,-155.09,78.53,73,75,10.36,1622253992
La Paz Centro,NI,12.34,-86.6753,85.71,54,22,8.01,1622254146
Ruteng,ID,-8.6136,120.4721,73.31,60,83,0.43,1622254147
Tura,IN,25.5198,90.2201,79.47,85,22,4.41,1622254147
Prado,BR,-17.3411,-39.2208,75.04,85,86,7.72,1622254147
Berlevåg,NO,70.8578,29.0864,35.29,76,100,22.46,1622254147
Tasiilaq,GL,65.6145,-37.6368,42.96,92,100,32.39,1622254148
Korla,CN,41.7597,86.1469,81.95,21,5,10.69,1622254148
Isangel,VU,-19.55,169.2667,74.97,66,69,7.87,1622254148
Gizo Government Station,SB,-8.103,156.8419,78.42,90,100,12.01,1622254148
Bandi̇̄pur,NP,27.9333,84.4167,65.19,90,99,3.8,1622254149
Barra de Tecoanapa,MX,16.5167,-98.75,84.13,68,90,3.47,1622254149
Karaton,ID,-6.3424,106.1045,84.96,65,84,0.96,1622254149
Chui,UY,-33.6971,-53.4616,55.06,94,36,7.43,1622254149
Saint-François,FR,46.4154,3.9054,58.17,87,0,2.3,1622254150
Pangody,RU,65.85,74.4859,42.22,41,62,8.48,1622254150
Shetpe,KZ,44.1667,52.1167,68.83,47,73,3.83,1622254150
Bilma,NE,18.6853,12.9164,84.7,10,58,5.1,1622254151
Port Macquarie,AU,-31.4333,152.9167,63.9,71,76,15.93,1622253899
La Tuque,CA,47.4334,-72.7824,37.85,56,7,2.77,1622254151
Ponta do Sol,PT,32.6667,-17.1,66.83,78,100,2.39,1622254151
Geraldton,AU,-28.7667,114.6,64.81,94,90,14.61,1622254151
Suntar,RU,62.1444,117.6319,70.02,36,12,3.69,1622254152
Singaraja,ID,-8.112,115.0882,84.67,69,100,0.98,1622254152
Treinta y Tres,UY,-33.2333,-54.3833,54.52,93,20,8.93,1622253925
Lompoc,US,34.6391,-120.4579,68.09,90,90,10.36,1622254011
Honningsvåg,NO,70.9821,25.9704,36.45,66,100,19.91,1622254152
Saldanha,ZA,-33.0117,17.9442,58.6,83,20,6.51,1622254153
Dahuk,IQ,36.8695,42.994,72.23,29,0,4.34,1622254153
Sakaiminato,JP,35.55,133.2333,65.41,70,13,16.93,1622254153
Big Rapids,US,43.6981,-85.4837,46.69,48,1,5.75,1622254153
Half Moon Bay,US,37.4636,-122.4286,71.96,73,75,9.22,1622254154
Varkala,IN,8.7341,76.7067,80.38,84,54,8.41,1622254154
Mossamedes,AO,-15.1961,12.1522,73.22,60,0,1.88,1622253973
Balkanabat,TM,39.5108,54.3671,84.87,31,0,7.92,1622254154
Leningradskiy,RU,69.3833,178.4167,33.62,87,10,12.88,1622254155
Mar del Plata,AR,-38.0023,-57.5575,55.0,63,40,5.99,1622254155
Aksu,CN,41.1231,80.2644,80.42,18,6,4.32,1622254155
Mānsa,IN,29.9833,75.3833,92.48,39,0,15.57,1622254155
Płock,PL,52.5468,19.7064,49.96,94,55,6.33,1622253941
Ancud,CL,-41.8697,-73.8203,46.42,71,84,5.28,1622254156
Meybod,IR,32.2501,54.0166,73.42,17,0,6.6,1622254156
Grand Gaube,MU,-20.0064,57.6608,74.37,77,84,3.0,1622254156
Nelson Bay,AU,-32.7167,152.15,60.85,73,100,5.01,1622254157
Brae,GB,60.3964,-1.353,46.31,91,57,3.22,1622254157
Oodweyne,SO,9.4092,45.064,69.69,72,77,7.83,1622254157
Chaoyang,CN,41.5703,120.4586,69.8,31,0,6.69,1622254157
Ciudad Bolivar,VE,8.1222,-63.5497,81.97,68,96,13.53,1622253908
Pampierstad,ZA,-27.7832,24.6877,44.98,50,0,4.21,1622254158
Iranshahr,IR,27.2025,60.6848,84.54,12,0,6.91,1622254158
Smithers,CA,54.7804,-127.1743,56.03,43,16,8.23,1622254158
Beringovskiy,RU,63.05,179.3167,33.35,84,12,13.31,1622254159
Stromness,GB,58.965,-3.296,46.36,92,0,14.56,1622254159
Kosonsoy,UZ,41.2561,71.5508,70.36,34,0,4.52,1622254159
Mundo Nuevo (Ojo de Agua),MX,18.7,-95.5,82.11,80,97,11.3,1622254159
Cherskiy,RU,68.75,161.3,57.67,31,71,14.88,1622254160
Angoche,MZ,-16.2325,39.9086,69.69,77,0,3.58,1622254160
Beira,MZ,-19.8436,34.8389,61.39,85,0,7.94,1622254160
Lyubytino,RU,58.8122,33.3922,48.16,87,100,3.24,1622254160
Shellbrook,CA,53.2168,-106.4011,56.93,58,40,16.42,1622254161
Souillac,MU,-20.5167,57.5167,74.35,88,75,6.51,1622254161
Pochutla,MX,15.7432,-96.4661,85.05,71,96,3.67,1622254161
Prince Rupert,CA,54.3161,-130.3201,50.63,67,93,2.55,1622254162
Salinópolis,BR,-0.6136,-47.3561,78.8,85,100,10.13,1622254162
Gijang,KR,35.2442,129.2139,73.13,49,0,9.8,1622254162
Lotofaga,WS,-13.9764,-171.8578,91.18,72,20,11.5,1622254162
Bucerías,MX,20.75,-105.3333,79.99,73,75,2.82,1622254163
Viedma,AR,-40.8135,-62.9967,44.76,49,89,17.85,1622253868
Mount Isa,AU,-20.7333,139.5,71.37,21,37,11.5,1622254163
Bonthe,SL,7.5264,-12.505,80.42,82,95,4.27,1622254163
Pilar,BR,-9.5972,-35.9567,73.33,75,89,3.11,1622254163
Kandrian,PG,-6.2167,149.55,83.73,70,39,16.73,1622254164
Kathmandu,NP,27.7167,85.3167,68.22,88,75,5.75,1622254164
Alofi,NU,-19.0595,-169.9187,77.74,75,37,7.94,1622254164
Camacha,PT,33.0833,-16.3333,63.36,72,20,5.75,1622254164
Yeppoon,AU,-23.1333,150.7333,71.38,63,99,17.67,1622254165
El Salvador,SV,13.8333,-88.9167,73.8,88,91,1.66,1622254165
Emerald,AU,-23.5333,148.1667,65.34,38,100,12.17,1622254165
Yulara,AU,-25.2406,130.9889,60.64,44,0,20.71,1622254166
Baykit,RU,61.67,96.37,36.63,94,100,8.1,1622254166
Hamilton,US,39.1834,-84.5333,52.77,93,90,3.0,1622254166
Aragarças,BR,-15.8975,-52.2508,74.59,53,100,3.0,1622254166
Safi,MA,32.2994,-9.2372,64.63,92,92,2.15,1622254167
Andenes,NO,69.3143,16.1194,38.07,75,95,5.75,1622254167
Avera,US,33.194,-82.5271,80.47,55,94,7.63,1622254167
Nikolskoye,RU,59.7035,30.7861,46.29,96,98,4.23,1622254167
Lincoln,US,40.8,-96.667,52.18,74,90,1.99,1622254168
Tiznit Province,MA,29.5833,-9.5,65.05,75,100,1.05,1622254168
Fandriana,MG,-20.2333,47.3833,49.51,82,0,4.05,1622254168
Chongwe,ZM,-15.3292,28.682,47.97,56,0,1.23,1622254168
Vanderhoof,CA,54.0166,-124.0198,58.75,46,70,10.11,1622254169
Sassandra,CI,4.95,-6.0833,79.61,87,100,6.15,1622254169
Mahébourg,MU,-20.4081,57.7,74.25,88,75,0.0,1622254031
Olinda,BR,-8.0089,-34.8553,78.53,69,75,13.24,1622254169
Kutum,SD,14.2,24.6667,76.8,11,0,9.44,1622254170
Shirokiy,RU,49.758,129.523,62.46,58,100,4.25,1622254170
