City,Country,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed (mph),Date
Rodolfo Sánchez Taboada,MX,31.7167,-116.5667,62.1,77,9,1.99,1622253977
Preobrazheniye,RU,42.9019,133.9064,49.39,93,100,3.56,1622254170
Provideniya,RU,64.3833,-173.3,46.65,36,9,10.36,1622254170
Kigorobya,UG,1.6162,31.3089,65.86,85,62,3.09,1622254171
Touros,BR,-5.1989,-35.4608,76.1,91,70,10.54,1622253987
Turbat,PK,26.0023,63.044,89.55,41,0,1.45,1622254171
Jhajjar,IN,28.6063,76.6565,84.31,52,0,17.34,1622254171
Shimoda,JP,34.6667,138.95,72.1,76,100,18.81,1622254172
Lima,PE,-12.0432,-77.0282,62.13,88,90,11.5,1622253981
Kumul,CN,42.8,93.45,81.61,21,87,15.66,1622254172
San Policarpo,PH,12.1791,125.5072,84.9,72,30,4.09,1622254172
Santa Maria,BR,-29.6842,-53.8069,62.76,99,100,2.48,1622254172
Xai-Xai,MZ,-25.0519,33.6442,60.98,51,0,6.44,1622254173
Boa Vista,BR,2.8197,-60.6733,78.78,89,90,5.75,1622254173
Bud,US,39.447,-86.1758,54.12,91,100,15.35,1622254173
Birjand,IR,32.8663,59.2211,64.87,36,0,6.91,1622254173
Kasimov,RU,54.9411,41.3953,58.12,95,26,2.73,1622254174
Moranbah,AU,-22.0016,148.0466,68.45,30,77,14.67,1622254174
Arrondissement de Muret,FR,43.3333,1.25,68.79,69,100,4.23,1622254174
Itarema,BR,-2.9248,-39.9167,77.58,85,2,9.17,1622254174
Husavik,IS,66.0449,-17.3389,47.68,69,21,13.22,1622254175
Salalah,OM,17.0151,54.0924,84.29,79,75,4.61,1622254175
Noumea,NC,-22.2763,166.4572,76.98,99,23,16.67,1622254175
Pichayevo,RU,53.2363,42.2032,60.82,74,47,1.25,1622254176
Sikonge,TZ,-5.6333,32.7667,61.93,75,63,4.32,1622254176
Evensk,RU,61.95,159.2333,43.66,68,99,6.98,1622254176
Gorin,RU,51.1983,136.6669,64.38,51,77,4.79,1622254176
Atbasar,KZ,51.8,68.3333,60.39,43,0,11.41,1622254177
Pyapon,MM,16.2833,95.6833,79.86,86,100,7.34,1622254177
Coyhaique,CL,-45.5752,-72.0662,37.35,60,0,5.75,1622254177
Cabo San Lucas,MX,22.8909,-109.9124,93.51,23,20,9.22,1622254177
Nālūt,LY,30.3333,10.85,83.46,26,5,8.66,1622254178
Dhidhdhoo,MV,6.8833,73.1,83.68,72,29,20.83,1622254178
Ilulissat,GL,69.2167,-51.1,42.82,61,8,2.3,1622254178
Pontianak,ID,-0.0333,109.3333,78.78,94,20,1.45,1622253907
Ust-Kuyga,RU,70.0167,135.6,50.9,53,13,11.43,1622254178
Krasnogvardeyskiy,RU,57.3793,62.3195,59.4,63,2,5.17,1622254179
Buchanan,LR,5.8808,-10.0467,76.96,85,81,5.28,1622254179
Marsh Harbour,BS,26.5412,-77.0636,77.05,76,1,9.01,1622253933
Vilhena,BR,-12.7406,-60.1458,72.16,76,92,3.13,1622254179
Maturin,VE,9.75,-63.1767,73.87,90,83,6.78,1622254180
Ayagoz,KZ,47.9714,80.4392,57.65,37,86,19.35,1622254180
Sørland,NO,67.667,12.6934,43.86,76,59,2.21,1622254180
Zeya,RU,53.75,127.2667,49.66,76,99,6.26,1622254180
Arinos,BR,-15.9169,-46.1056,73.33,57,100,1.07,1622254181
Christchurch,NZ,-43.5333,172.6333,50.0,97,75,1.01,1622254181
Pacific Grove,US,36.6177,-121.9166,68.45,81,75,4.0,1622254181
Te Anau,NZ,-45.4167,167.7167,43.05,97,100,6.67,1622254181
Morehead,US,37.2711,-87.1764,57.15,88,90,1.99,1622254182
Ilebo,CD,-4.3167,20.5833,69.49,67,90,1.3,1622254182
Bandarbeyla,SO,9.4942,50.8122,79.47,80,93,19.19,1622254182
Los Llanos de Aridane,ES,28.6585,-17.9182,62.35,85,0,11.01,1622253967
Arkadak,RU,51.9326,43.4978,60.08,78,100,5.55,1622254183
Kulu,TR,39.0951,33.0799,56.66,77,76,8.52,1622254183
Saint-Augustin,CA,51.226,-58.6502,41.94,52,14,14.97,1622254183
Wenling,CN,28.3669,121.36,75.9,83,100,3.87,1622254030
Cravo Norte,CO,6.3017,-70.2041,74.84,95,66,4.9,1622254184
Pitiquito,MX,30.7,-112.0833,89.19,12,6,11.52,1622254184
Dombarovskiy,RU,50.7587,59.5386,63.82,45,29,11.01,1622254184
Fare,PF,-16.7,-151.0167,80.71,69,25,4.38,1622254184
Yar-Sale,RU,66.8333,70.8333,43.84,53,36,14.16,1622254185
Hauterive,FR,46.0901,3.4459,57.96,87,100,0.69,1622254185
Denpasar,ID,-8.65,115.2167,82.06,89,40,6.62,1622254185
San Felipe,VE,10.3399,-68.7425,73.22,98,70,2.73,1622254185
Puerto del Rosario,ES,28.5004,-13.8627,65.95,72,100,8.05,1622254058
Rhodes,GR,36.4408,28.2225,69.78,71,0,8.01,1622254159
Flinders,AU,-34.5833,150.8552,59.38,57,57,7.0,1622254186
Correntina,BR,-13.3433,-44.6367,69.48,52,45,2.55,1622254186
Honiara,SB,-9.4333,159.95,80.64,81,100,1.9,1622254186
Baca,MX,21.1,-89.4167,84.22,76,1,9.48,1622254152
Vikulovo,RU,56.8167,70.6107,58.95,62,90,7.05,1622254187
Nouadhibou,MR,20.931,-17.0347,65.62,85,100,20.71,1622254187
East London,ZA,-33.0153,27.9116,61.57,64,2,12.41,1622254187
Qasigiannguit,GL,68.8193,-51.1922,43.05,69,57,3.58,1622254188
Shubarshi,KZ,48.5872,57.1869,71.53,39,60,7.34,1622254188
Progreso,MX,21.2833,-89.6667,84.31,82,0,16.35,1622254188
Kovdor,RU,67.5662,30.4758,31.71,76,54,11.59,1622254188
Jishou,CN,28.3167,109.7167,66.09,97,100,2.08,1622254189
Poronaysk,RU,49.2167,143.1167,41.32,97,100,8.41,1622254189
Malé,MV,4.1748,73.5089,83.23,74,34,20.36,1622254063
Khuzhir,RU,53.1939,107.3397,40.82,88,100,14.23,1622254189
Soledade,BR,-28.8183,-52.5103,60.17,99,100,2.33,1622254189
Santa Rosalía,MX,27.3167,-112.2833,78.67,37,59,2.13,1622254190
Sinop Province,TR,41.7711,34.8709,54.07,96,91,4.32,1622254190
Quatre Cocos,MU,-20.2078,57.7625,74.08,85,96,9.42,1622254190
Egvekinot,RU,66.3167,-179.1667,37.72,58,6,10.56,1622254191
Tuy Hoa,VN,13.0833,109.3,89.02,63,55,4.29,1622254191
Atar,MR,20.5169,-13.0499,88.0,22,50,9.84,1622254191
Joshīmath,IN,30.5667,79.5667,70.79,55,32,2.35,1622254191
Dingle,PH,10.9995,122.6711,88.32,64,62,2.91,1622254192
Shagonar,RU,51.5333,92.8,52.59,58,84,1.05,1622254192
Ashtian,IR,34.5217,50.0019,65.3,20,0,5.97,1622254192
Umluj,SA,25.0213,37.2685,83.26,73,64,10.09,1622254192
Guerrero Negro,MX,27.9769,-114.0611,60.84,79,100,20.51,1622254193
Kupang,ID,-10.1667,123.5833,84.78,61,40,18.41,1622254193
Porto-Novo,BJ,6.4965,2.6036,79.7,87,100,5.03,1622254193
North Platte,US,41.1239,-100.7654,58.98,73,1,7.0,1622254194
Port Lincoln,AU,-34.7333,135.8667,59.25,64,4,12.95,1622254194
Rocha,UY,-34.4833,-54.3333,55.81,74,32,14.56,1622254194
Fujin,CN,47.26,132.0322,65.68,51,95,5.93,1622254194
Kirensk,RU,57.7853,108.1119,45.72,85,100,10.6,1622254195
Haapiti,PF,-17.5667,-149.8667,85.73,74,48,5.66,1622254195
Tevriz,RU,57.509,72.4042,57.67,64,77,4.07,1622254195
Comodoro Rivadavia,AR,-45.8667,-67.5,40.71,49,39,9.31,1622254195
Ostrovnoy,RU,68.0531,39.5131,34.39,96,81,18.3,1622254196
Manono,CD,-7.3,27.4167,63.03,50,57,3.2,1622254196
Srednekolymsk,RU,67.45,153.6833,58.6,29,68,17.09,1622254196
Broome,US,42.2506,-75.833,47.01,88,90,1.01,1622254197
Marawi,PH,7.9986,124.2928,82.65,76,96,2.04,1622254197
Coahuayana Viejo,MX,18.7333,-103.6833,77.56,69,80,3.22,1622254197
Iqaluit,CA,63.7506,-68.5145,25.7,79,7,15.99,1622254197
Nikki,BJ,9.9401,3.2108,79.02,64,94,5.57,1622253977
Hirara,JP,24.8,125.2833,79.38,83,94,8.46,1622254198
Gamba,GA,-2.65,10.0,75.24,94,94,4.59,1622254198
San Fernando del Valle de Catamarca,AR,-28.4696,-65.7852,65.59,58,0,5.44,1622254198
Domat,CH,46.8348,9.4508,52.92,94,39,3.27,1622254199
Kavieng,PG,-2.5744,150.7967,85.46,69,45,9.82,1622254199
Roald,NO,62.5833,6.1333,50.16,87,7,16.11,1622254199
El Centro,US,32.792,-115.563,96.85,20,1,11.5,1622254200
Asmara,ER,15.3333,38.9333,63.01,48,1,1.92,1622253971
Narsaq,GL,60.9167,-46.05,44.82,68,0,4.97,1622254200
Onega,RU,63.9061,38.1404,38.19,88,88,7.7,1622253911
Hibbing,US,47.4272,-92.9377,51.26,29,1,5.75,1622254200
São Miguel do Araguaia,BR,-13.275,-50.1628,76.77,48,98,1.45,1622253980
Manokwari,ID,-0.8667,134.0833,83.68,73,93,4.72,1622254201
Alberton,CA,46.8168,-64.0654,43.93,55,85,11.34,1622254201
Manama,BH,26.2154,50.5832,92.34,34,0,3.44,1622254201
Canutama,BR,-6.5339,-64.3831,76.6,80,31,0.94,1622254201
Znamenskoye,RU,57.1281,73.8282,54.5,69,94,3.36,1622254203
Baruun-Urt,MN,46.6806,113.2792,55.96,39,20,6.4,1622254204
Miami,US,25.7743,-80.1937,79.99,75,20,1.01,1622253956
Vero Beach,US,27.6386,-80.3973,79.09,80,1,1.99,1622254204
Merrill,US,45.1805,-89.6835,47.62,57,1,3.44,1622254204
Virginia Beach,US,36.8529,-75.978,80.65,68,13,1.01,1622254092
Vila Franca do Campo,PT,37.7167,-25.4333,57.61,74,97,4.43,1622254205
Mount Gambier,AU,-37.8333,140.7667,54.46,59,0,4.47,1622254205
Vizinga,RU,61.0749,50.1031,51.17,92,49,5.53,1622254205
Paragominas,BR,-2.9667,-47.4833,73.33,88,79,1.45,1622254206
Ozernovskiy,RU,51.5,156.5167,40.08,86,36,9.64,1622254206
Konëvo,RU,62.1215,39.3192,40.46,94,100,5.32,1622254206
Dulce Grande,MX,23.0,-102.1667,82.8,22,59,6.29,1622254206
Taoudenni,ML,22.6783,-3.9836,95.92,6,78,9.22,1622254207
Eydhafushi,MV,5.1033,73.0708,83.62,72,44,21.16,1622254207
Melbu,NO,68.5044,14.8297,43.32,69,8,0.16,1622254207
Shelburne,CA,44.0787,-80.2041,39.52,88,6,5.53,1622254207
Novosheshminsk,RU,55.0651,51.2338,64.27,70,97,3.98,1622254208
Soyo,AO,-6.1349,12.3689,75.09,90,99,7.0,1622254208
Acapulco de Juárez,MX,16.8634,-99.8901,85.82,70,90,4.16,1622254208
Dibulla,CO,11.2725,-73.3091,77.79,87,98,3.27,1622254209
Albanel,CA,48.8832,-72.4487,37.13,46,0,5.57,1622254209
Chicama,PE,-7.8447,-79.1469,63.14,89,48,5.84,1622254209
Dawson Creek,CA,55.7666,-120.2362,58.14,57,75,8.72,1622254209
Nantucket,US,41.2835,-70.0995,51.96,85,90,14.97,1622254210
Nemuro,JP,43.3236,145.575,43.88,93,100,19.82,1622254210
Wanning,CN,18.8003,110.3967,89.15,66,76,14.61,1622254038
Severnyy,RU,50.677,36.5532,68.04,64,0,0.0,1622254210
High Rock,BS,26.6208,-78.2833,77.02,73,1,9.55,1622254210
Santa Cruz de La Palma,ES,28.6835,-17.7642,66.34,68,0,8.05,1622254211
Lata,PT,40.1629,-8.3327,60.71,98,20,2.08,1622254211
Kharabali,RU,47.4196,47.2568,61.02,80,1,3.09,1622254211
Burns Lake,CA,54.2331,-125.7533,55.49,45,54,10.6,1622254212
Lindås,NO,60.7381,5.16,51.76,78,8,4.47,1622254212
Nong Phai,TH,15.9903,101.0618,84.29,74,76,4.76,1622254212
Hūn,LY,29.1268,15.9477,86.94,15,0,12.97,1622254212
Henties Bay,NA,-22.116,14.2845,60.53,80,0,4.34,1622254213
Port-Gentil,GA,-0.7193,8.7815,78.21,85,94,8.12,1622254213
Ngunguru,NZ,-35.6167,174.5,56.16,75,85,15.26,1622254213
Vegachí,CO,6.7614,-74.7947,66.56,99,100,3.15,1622254213
Poum,NC,-20.2333,164.0167,72.84,69,4,16.73,1622254214
Auki,SB,-8.7676,160.7034,81.28,82,91,5.3,1622254214
Tacaná,GT,15.2333,-92.0833,63.5,98,99,2.84,1622254214
Kysyl-Syr,RU,63.8986,122.7617,67.26,38,8,7.18,1622254214
Nieuw Amsterdam,SR,5.8833,-55.0833,77.02,96,100,9.01,1622254215
Wajir,KE,1.7471,40.0573,74.89,70,100,12.44,1622254215
Pijijiapan,MX,15.7011,-93.23,80.74,84,63,1.07,1622254215
Nushki,PK,29.5542,66.0215,83.93,17,0,5.86,1622254215
Businga,CD,3.3333,20.8833,70.83,98,90,1.74,1622254216
Nabire,ID,-3.3667,135.4833,87.19,65,57,4.56,1622254216
Ucluelet,CA,48.9329,-125.5528,58.08,79,61,1.99,1622254016
King City,US,36.2127,-121.126,87.22,41,90,11.56,1622254216
Surenavan,AM,39.75,44.8,65.01,38,84,4.85,1622254217
Kharan,PK,28.5833,65.4167,87.37,15,0,2.89,1622254217
Fayaoué,NC,-20.65,166.5333,73.33,62,45,14.2,1622254217
Sabha,LY,27.0377,14.4283,86.34,14,10,11.59,1622254217
Cayenne,GF,4.9333,-52.3333,77.04,90,90,6.58,1622254218
Shakawe,BW,-18.3667,21.85,50.27,40,0,2.51,1622254218
Bowen,AU,-20.0167,148.2333,71.04,55,3,14.12,1622254218
Mahibadhoo,MV,3.7833,72.9667,83.41,73,66,19.98,1622254218
Coulommiers,FR,48.8145,3.085,56.86,85,22,6.73,1622254219
Badou,TG,7.5833,0.6,73.71,92,48,2.15,1622254219
Novikovo,RU,51.1537,37.8879,58.59,93,87,2.89,1622254219
Karachi,PK,24.9056,67.0822,84.02,79,40,5.75,1622254206
Matanzas,CU,23.0411,-81.5775,75.96,78,40,7.61,1622254220
Puerto Madero,MX,14.7208,-92.4215,79.0,94,40,0.0,1622254220
Nadym,RU,65.5333,72.5167,45.12,47,20,12.46,1622254220
Port Blair,IN,11.6667,92.75,82.69,80,100,5.82,1622254220
Torbeyevo,RU,54.0797,43.2473,61.38,79,53,2.71,1622254221
Juxtlahuaca,MX,17.4294,-99.1467,75.31,70,7,6.31,1622254221
Hazorasp,UZ,41.3194,61.0742,71.44,28,1,5.84,1622254221
Santa Fe,AR,-31.6333,-60.7,60.98,65,2,4.0,1622253970
Airai,TL,-8.9266,125.4092,68.67,65,88,3.67,1622254221
Surovikino,RU,48.6078,42.8486,66.99,63,63,7.05,1622254222
Eyl,SO,7.9803,49.8164,78.67,78,21,14.58,1622254222
Matamoros,MX,25.5333,-103.25,96.91,20,1,2.48,1622254068
Ola,RU,59.5833,151.2833,41.38,75,100,9.44,1622254222
Banda Aceh,ID,5.5577,95.3222,82.0,73,98,9.75,1622254223
Biak,ID,-0.9131,122.8766,82.31,72,29,7.49,1622254223
Gibara,CU,21.1097,-76.1317,78.12,82,0,11.07,1622254031
Ewo,CG,-0.8725,14.8206,75.31,73,100,1.95,1622254223
Santarém,BR,-2.4431,-54.7083,78.93,94,75,13.8,1622254223
North Bend,US,43.4065,-124.2243,68.23,70,1,26.46,1622254224
Raudeberg,NO,61.9875,5.1352,48.87,84,6,8.57,1622254224
Birobidzhan,RU,48.8,132.95,63.95,60,46,7.96,1622254224
Waddān,LY,29.1614,16.139,85.82,16,0,11.39,1622254225
Meulaboh,ID,4.1363,96.1285,78.33,85,100,4.21,1622254225
Bereket,TM,39.2446,55.5154,82.26,33,0,8.7,1622254225
Kindu,CD,-2.95,25.95,70.21,97,100,2.17,1622254225
Matelândia,BR,-25.2408,-53.9964,79.3,46,64,10.78,1622254226
Sémbé,CG,1.6481,14.5806,70.95,98,97,0.96,1622254226
Washington,US,47.5001,-120.5015,64.94,32,3,10.69,1622254198
Verāval,IN,20.9,70.3667,84.58,73,10,10.36,1622254226
Ponta Delgada,PT,37.7333,-25.6667,57.92,77,40,5.75,1622254226
Klaksvík,FO,62.2266,-6.589,45.52,92,11,16.73,1622253971
Campeche,MX,19.0,-90.5,84.31,55,100,1.72,1622254053
Nemenčinė,LT,54.85,25.4833,43.43,96,6,3.71,1622254227
West Wendover,US,40.7391,-114.0733,74.41,23,20,14.97,1622254227
Camapuã,BR,-19.5314,-54.0439,72.7,61,5,2.62,1622254227
Dzhebariki-Khaya,RU,62.2167,135.8,65.84,39,100,9.89,1622254228
Arrondissement de Douai,FR,50.3333,3.1667,53.51,82,100,6.82,1622254228
Kungälv,SE,57.871,11.9805,49.1,95,8,1.81,1622254228
Grand-Santi,GF,4.25,-54.3833,73.17,99,99,1.97,1622254228
Jesús,PY,-27.05,-55.7833,72.41,77,39,4.09,1622254229
Tahe,CN,52.3333,124.7333,47.89,94,99,5.77,1622254229
Laas,IT,46.6166,10.7002,53.62,83,49,4.25,1622254229
Khani,GE,41.9563,42.9566,53.17,81,90,6.98,1622254229
Venado Tuerto,AR,-33.7456,-61.9688,51.76,58,47,7.18,1622254230
Tondano,ID,1.3038,124.9112,82.49,64,17,4.47,1622254230
Diamantino,BR,-14.4086,-56.4461,73.49,56,96,3.62,1622254086
Kondoa,TZ,-4.9,35.7833,55.2,98,21,4.25,1622254230
Rio Grande,BR,-32.035,-52.0986,57.94,97,100,7.7,1622254231
Malanville,BJ,11.8685,3.3899,87.13,36,100,6.78,1622254231
Iskateley,RU,67.6803,53.1512,37.96,96,100,14.2,1622254231
Nizwá,OM,22.9333,57.5333,85.48,19,41,3.83,1622254231
Tiarei,PF,-17.5333,-149.3333,86.02,75,24,3.6,1622254232
Impfondo,CG,1.6381,18.0667,71.62,96,89,1.19,1622254232
Oleksandrivka,UA,46.8383,32.7612,60.91,94,60,7.92,1622254232
Vila Velha,BR,-20.3297,-40.2925,76.95,85,75,4.0,1622254160
Oconomowoc,US,43.1117,-88.4993,46.98,64,1,1.01,1622253966
Rock Springs,US,41.5875,-109.2029,64.24,24,75,11.01,1622254150
Iquique,CL,-20.2208,-70.1431,62.64,80,57,2.91,1622254233
Beidao,CN,34.5686,105.8933,71.82,62,100,1.92,1622254233
Serebryansk,KZ,49.6925,83.2892,49.55,63,0,5.86,1622254233
Starkville,US,33.4504,-88.8184,73.06,85,100,5.55,1622253965
Polunochnoye,RU,60.8697,60.4153,53.04,96,100,8.05,1622254234
Mayo,US,38.8876,-76.5119,68.16,93,90,7.0,1622254234
Shām Churāsi,IN,31.4997,75.7494,84.02,43,0,17.83,1622254234
Dumai,ID,1.6833,101.45,82.02,80,88,3.76,1622253977
San Cristobal,VE,7.7669,-72.225,66.58,95,87,0.83,1622254235
College,US,64.8569,-147.8028,47.86,43,75,1.01,1622254153
Mombetsu,JP,44.3525,143.3525,50.76,80,100,22.64,1622254235
Bouloupari,NC,-21.8667,166.05,76.91,65,49,11.74,1622254235
Tari,NG,12.4086,4.4914,89.02,25,80,6.85,1622254236
Charters Towers,AU,-20.1,146.2667,69.53,25,56,7.14,1622254236
Kieta,PG,-6.2167,155.6333,78.69,88,100,2.8,1622254236
Haines Junction,CA,60.7522,-137.5108,47.1,60,100,13.11,1622254236
Hammerfest,NO,70.6634,23.6821,36.05,64,90,1.14,1622254237
Sissach,CH,47.4641,7.8089,54.36,81,100,2.53,1622254237
Billings Metropolitan Area,US,45.7833,-108.5007,59.5,72,75,8.05,1622254185
Kasongo,CD,-4.45,26.6667,70.38,75,100,2.98,1622254237
Antalaha,MG,-14.9003,50.2788,69.55,86,21,6.08,1622254238
Paphos,CY,34.7667,32.4167,67.91,77,90,3.44,1622254238
Thaba-Tseka,LS,-29.522,28.6084,35.33,49,0,4.5,1622254238
Chase,CA,50.8165,-119.6857,59.4,78,58,1.79,1622254238
Esperance,AU,-33.8667,121.9,68.11,53,71,15.12,1622254239
Candolim,IN,15.5181,73.7626,80.6,100,40,4.59,1622254239
Ishigaki,JP,24.3448,124.1572,81.86,78,93,7.65,1622254239
Tezu,IN,27.9167,96.1667,84.78,67,86,1.14,1622254239
Grants Pass,US,42.439,-123.3284,81.91,29,1,8.01,1622254240
Flagstaff,US,35.1981,-111.6513,74.1,15,1,3.0,1622254240
Kon Tum,VN,14.35,108.0,82.36,71,91,2.51,1622254240
Trebukhiv,UA,50.4843,30.903,59.92,94,75,7.16,1622254241
Wellington,NZ,-41.2866,174.7756,58.66,80,90,10.36,1622253948
Albuquerque,US,35.0845,-106.6511,83.1,27,20,7.0,1622254212
Ruwi,OM,23.5996,58.5507,83.89,37,1,8.1,1622254241
Puerto Escondido,MX,15.85,-97.0667,86.83,66,90,0.0,1622254241
Mauá,BR,-23.6678,-46.4614,77.36,59,63,14.2,1622254241
